ID_Contrato,Produto,Valor_Nocional,Taxa_Contratada_AA,Prazo_Remanescente_Meses,Indexador,Rating_2682,Dias_Atraso,PD,LGD,EAD
1001,Parcelado_Loja,23774.04,0.2138,42,POS-CDI,AA,0,0.001,0.65,23774.04
1002,Emprestimo_Pessoal,37341.81,0.183,21,PRE,AA,0,0.001,0.75,37341.81
1003,Parcelado_Loja,43655.72,0.2419,35,PRE,A,0,0.005,0.65,43655.72
1004,Parcelado_Loja,21965.94,0.2565,41,PRE,A,0,0.005,0.65,21965.94
1005,Emprestimo_Pessoal,2661.25,0.1226,40,POS-CDI,AA,0,0.001,0.75,2661.25
1006,Emprestimo_Pessoal,8502.79,0.1573,3,PRE,AA,45,0.001,0.75,8502.79
1007,Parcelado_Loja,1532.63,0.2484,25,PRE,E,0,0.3,0.65,1532.63
1008,Cartao_Credito,32836.52,0.1896,45,POS-CDI,H,0,1.0,0.85,36966.96
1009,Parcelado_Loja,16949.57,0.2392,38,POS-CDI,G,0,0.7,0.65,16949.57
1010,Parcelado_Loja,27352.69,0.1825,45,PRE,D,0,0.1,0.65,27352.69
1011,Parcelado_Loja,24917.2,0.1903,20,PRE,AA,15,0.001,0.65,24917.2
1012,Parcelado_Loja,4535.56,0.1486,44,PRE,A,0,0.005,0.65,4535.56
1013,Emprestimo_Pessoal,20461.44,0.1665,45,PRE,A,0,0.005,0.75,20461.44
1014,Parcelado_Loja,11417.78,0.229,34,PRE,A,0,0.005,0.65,11417.78
1015,Cartao_Credito,21210.79,0.198,21,PRE,AA,5,0.001,0.85,23776.15
1016,Emprestimo_Pessoal,10577.12,0.2594,23,PRE,A,0,0.005,0.75,10577.12
1017,Cartao_Credito,42102.39,0.2735,6,POS-CDI,A,200,0.005,0.85,48801.05
1018,Cartao_Credito,9122.57,0.2175,13,POS-CDI,AA,0,0.001,0.85,10682.48
1019,Cartao_Credito,48058.64,0.2565,23,PRE,B,0,0.01,0.85,59395.46
1020,Cartao_Credito,21087.41,0.1752,9,PRE,AA,0,0.001,0.85,26076.8
1021,Emprestimo_Pessoal,42389.14,0.1947,17,PRE,AA,5,0.001,0.75,42389.14
1022,Emprestimo_Pessoal,31623.86,0.2483,2,PRE,AA,5,0.001,0.75,31623.86
1023,Cartao_Credito,36899.84,0.1895,19,POS-CDI,AA,0,0.001,0.85,41645.74
1024,Cartao_Credito,38502.33,0.2259,19,PRE,AA,0,0.001,0.85,43710.29
1025,Emprestimo_Pessoal,25489.82,0.1534,7,PRE,E,0,0.3,0.75,25489.82
1026,Emprestimo_Pessoal,27393.38,0.228,42,PRE,A,0,0.005,0.75,27393.38
1027,Emprestimo_Pessoal,25942.8,0.2751,42,PRE,A,0,0.005,0.75,25942.8
1028,Parcelado_Loja,29608.89,0.2764,20,PRE,AA,0,0.001,0.65,29608.89
1029,Parcelado_Loja,1955.03,0.2504,9,PRE,A,0,0.005,0.65,1955.03
1030,Parcelado_Loja,20078.0,0.2542,17,PRE,B,0,0.01,0.65,20078.0
1031,Cartao_Credito,30506.34,0.2204,27,PRE,A,0,0.005,0.85,35421.84
1032,Parcelado_Loja,30087.32,0.2252,47,POS-CDI,B,0,0.01,0.65,30087.32
1033,Cartao_Credito,39751.33,0.1441,2,POS-CDI,E,5,0.3,0.85,46521.53
1034,Cartao_Credito,32922.96,0.1999,36,PRE,D,0,0.1,0.85,37240.88
1035,Parcelado_Loja,49610.6,0.2011,19,PRE,A,0,0.005,0.65,49610.6
1036,Cartao_Credito,14550.8,0.2925,17,PRE,AA,0,0.001,0.85,16016.86
1037,Parcelado_Loja,18277.98,0.1976,5,PRE,A,0,0.005,0.65,18277.98
1038,Parcelado_Loja,19500.43,0.2189,39,PRE,A,0,0.005,0.65,19500.43
1039,Emprestimo_Pessoal,23557.73,0.216,18,PRE,B,0,0.01,0.75,23557.73
